Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Population, total [SP.POP.TOTL]",,,,,,,,,
1990,YR1990,Argentina,ARG,1.41353E+11,71.784,28.8,32637657,,,,,,,,,
1990,YR1990,Australia,AUS,3.11421E+11,76.99463415,9.2,17065128,,,,,,,,,
1990,YR1990,Brazil,BRA,3.8496E+11,65.985,63,150706446,,,,,,,,,
1990,YR1990,China,CHN,3.60858E+11,68.005,53.7,1135185000,,,,,,,,,
1990,YR1990,France,FRA,1.26918E+12,76.6,9,58044701,,,,,,,,,
1990,YR1990,Germany,DEU,1.77167E+12,75.08563415,8.5,79433029,,,,,,,,,
1990,YR1990,India,IND,3.20979E+11,58.652,126.5,870452165,,,,,,,,,
1990,YR1990,Indonesia,IDN,1.06141E+11,63.181,83.8,182159874,,,,,,,,,
1990,YR1990,Italy,ITA,1.18122E+12,76.97073171,9.7,56719240,,,,,,,,,
1990,YR1990,Japan,JPN,3.1859E+12,78.83707317,6.3,123478000,,,,,,,,,
1990,YR1990,"Korea, Rep.",KOR,2.83366E+11,71.59756098,15.7,42869283,,,,,,,,,
1990,YR1990,Mexico,MEX,2.61254E+11,69.971,45.2,81720428,,,,,,,,,
1990,YR1990,Netherlands,NLD,3.18331E+11,76.87804878,8.3,14951510,,,,,,,,,
1990,YR1990,Russia,RUS,5.17014E+11,68.88609756,21.6,147969406,,,,,,,,,
1990,YR1990,Saudi Arabia,SAU,1.1763E+11,68.948,44.3,16004763,,,,,,,,,
1990,YR1990,Spain,ESP,5.36559E+11,76.83756098,9.2,38867322,,,,,,,,,
1990,YR1990,Switzerland,CHE,2.65764E+11,77.24243902,8.2,6715519,,,,,,,,,
1990,YR1990,Turkey,TUR,1.50656E+11,67.709,74.1,54324142,,,,,,,,,
1990,YR1990,United Kingdom,GBR,1.09317E+12,75.8804878,9.3,57247586,,,,,,,,,
1990,YR1990,United States of America,USA,5.96314E+12,75.21463415,11.2,249623000,,,,,,,,,
1990,YR1990,Afghanistan,AFG,..,45.967,181.1,10694796,,,,,,,,,
1990,YR1990,Albania,ALB,2028553750,73.144,40.7,3286542,,,,,,,,,
1990,YR1990,Algeria,DZA,62048507531,67.416,51,25518074,,,,,,,,,
1990,YR1990,American Samoa,ASM,..,..,..,47818,,,,,,,,,
1990,YR1990,Andorra,AND,1028989692,..,12.9,53569,,,,,,,,,
1990,YR1990,Angola,AGO,..,41.893,223.6,11828638,,,,,,,,,
1990,YR1990,Antigua and Barbuda,ATG,478692592.6,73.492,13.5,63328,,,,,,,,,
1990,YR1990,Armenia,ARM,2256863449,68.821,48.8,3556539,,,,,,,,,
1990,YR1990,Aruba,ABW,764804469.3,73.076,..,65712,,,,,,,,,
1990,YR1990,Austria,AUT,1.66463E+11,75.56829268,9.5,7677850,,,,,,,,,
1990,YR1990,Azerbaijan,AZE,8884848485,62.352,95.1,7175200,,,,,,,,,
1990,YR1990,"Bahamas, The",BHS,3166000000,70.133,23.5,270679,,,,,,,,,
1990,YR1990,Bahrain,BHR,4809511005,72.668,23,517418,,,,,,,,,
1990,YR1990,Bangladesh,BGD,31598340778,55.989,146,107147651,,,,,,,,,
1990,YR1990,Barbados,BRB,2012131457,72.752,18.1,258868,,,,,,,,,
1990,YR1990,Belarus,BLR,..,70.83658537,15.2,10189348,,,,,,,,,
1990,YR1990,Belgium,BEL,2.05332E+11,76.05195122,10,9967379,,,,,,,,,
1990,YR1990,Belize,BLZ,545686365.5,70.744,39.2,182589,,,,,,,,,
1990,YR1990,Benin,BEN,1959965330,53.292,172.1,5133419,,,,,,,,,
1990,YR1990,Bermuda,BMU,1592400000,74.5,..,59326,,,,,,,,,
1990,YR1990,Bhutan,BTN,287765007.1,55.968,128.7,558442,,,,,,,,,
1990,YR1990,Bolivia,BOL,4867582598,56.422,121.7,7096194,,,,,,,,,
1990,YR1990,Bosnia and Herzegovina,BIH,7753478261,72.349,18.2,4494310,,,,,,,,,
1990,YR1990,Botswana,BWA,3790636324,60.533,49.2,1341474,,,,,,,,,
1990,YR1990,British Virgin Islands,VGB,..,73.927,23,15617,,,,,,,,,
1990,YR1990,Brunei Darussalam,BRN,3520487627,71.656,13.1,261928,,,,,,,,,
1990,YR1990,Bulgaria,BGR,20632090909,71.64146341,18.4,8718289,,,,,,,,,
1990,YR1990,Burkina Faso,BFA,3101300779,49.44,198,9131361,,,,,,,,,
1990,YR1990,Burundi,BDI,1132101253,44.86,169.8,5483793,,,,,,,,,
1990,YR1990,Cabo Verde,CPV,306890962.6,65.023,58.7,364563,,,,,,,,,
1990,YR1990,Cambodia,KHM,1402541177,55.434,116.1,8910808,,,,,,,,,
1990,YR1990,Cameroon,CMR,12314482628,54.868,136.7,11430520,,,,,,,,,
1990,YR1990,Canada,CAN,5.96076E+11,77.43658537,8.2,27691138,,,,,,,,,
1990,YR1990,Cayman Islands,CYM,..,..,..,26027,,,,,,,,,
1990,YR1990,Central African Republic,CAF,1440711459,49.635,176.8,2809221,,,,,,,,,
1990,YR1990,Chad,TCD,1738605558,44.686,212.1,5827069,,,,,,,,,
1990,YR1990,Channel Islands,CHI,..,77.185,..,140601,,,,,,,,,
1990,YR1990,Chile,CHL,33137824762,72.574,19.1,13342868,,,,,,,,,
1990,YR1990,Colombia,COL,47844090710,68.644,35.7,32601393,,,,,,,,,
1990,YR1990,Comoros,COM,429622177.7,55.84,126.4,431119,,,,,,,,,
1990,YR1990,"Congo, Dem. Rep.",COD,..,48.601,185.5,35987541,,,,,,,,,
1990,YR1990,"Congo, Rep.",COG,2798746050,55.926,91,2385435,,,,,,,,,
1990,YR1990,Costa Rica,CRI,5711687787,76.63,16.9,3158253,,,,,,,,,
1990,YR1990,Cote d'Ivoire,CIV,10795850583,52.603,153.1,11910540,,,,,,,,,
1990,YR1990,Croatia,HRV,25650213159,72.1704878,12.9,4777368,,,,,,,,,
1990,YR1990,Cuba,CUB,28645436569,74.039,13.5,10626680,,,,,,,,,
1990,YR1990,Curacao,CUW,..,72.25039024,..,145400,,,,,,,,,
1990,YR1990,Cyprus,CYP,5591130218,73.539,11.1,788500,,,,,,,,,
1990,YR1990,Czechia,CZE,40728950705,71.38390244,12.2,10333355,,,,,,,,,
1990,YR1990,Denmark,DNK,1.38247E+11,74.80536585,8.9,5140939,,,,,,,,,
1990,YR1990,Djibouti,DJI,452328087.3,55.498,117,577173,,,,,,,,,
1990,YR1990,Dominica,DMA,201429629.6,69.852,17,69481,,,,,,,,,
1990,YR1990,Dominican Republic,DOM,7073675545,67.11,59.4,7129004,,,,,,,,,
1990,YR1990,Ecuador,ECU,15239272612,69.348,53.9,10449837,,,,,,,,,
1990,YR1990,Egypt,EGY,42978914311,64.146,85.7,57214630,,,,,,,,,
1990,YR1990,El Salvador,SLV,4817542204,62.55,59.7,5367179,,,,,,,,,
1990,YR1990,Equatorial Guinea,GNQ,112119411.5,50.86,178.2,465549,,,,,,,,,
1990,YR1990,Eritrea,ERI,..,49.769,153.3,2149960,,,,,,,,,
1990,YR1990,Estonia,EST,..,69.47560976,17.7,1569174,,,,,,,,,
1990,YR1990,Eswatini,SWZ,1114694041,63.072,69.1,854011,,,,,,,,,
1990,YR1990,Ethiopia,ETH,12478943895,44.557,202.5,47878073,,,,,,,,,
1990,YR1990,Faroe Islands,FRO,960805408.9,76.11463415,..,47479,,,,,,,,,
1990,YR1990,Fiji,FJI,1337017559,65.508,29,780430,,,,,,,,,
1990,YR1990,Finland,FIN,1.41438E+11,74.81317073,6.7,4986431,,,,,,,,,
1990,YR1990,French Polynesia,PYF,3320159522,73.983,..,211089,,,,,,,,,
1990,YR1990,Gabon,GAB,5952293765,60.311,92.4,983028,,,,,,,,,
1990,YR1990,"Gambia, The",GMB,317083695.5,51.319,166.3,1040616,,,,,,,,,
1990,YR1990,Georgia,GEO,7500000000,68.389,47.6,4802000,,,,,,,,,
1990,YR1990,Ghana,GHA,5889106573,55.62,127.6,15446982,,,,,,,,,
1990,YR1990,Gibraltar,GIB,..,77.072,..,27317,,,,,,,,,
1990,YR1990,Greece,GRC,97891092003,76.93902439,10.5,10196792,,,,,,,,,
1990,YR1990,Greenland,GRL,1018977280,65.06829268,..,55600,,,,,,,,,
1990,YR1990,Grenada,GRD,278098763,70.683,22.4,99047,,,,,,,,,
1990,YR1990,Guam,GUM,..,72.473,..,138263,,,,,,,,,
1990,YR1990,Guatemala,GTM,7650196845,62.473,80.4,9050115,,,,,,,,,
1990,YR1990,Guinea,GIN,3888320666,47.004,233,6354145,,,,,,,,,
1990,YR1990,Guinea-Bissau,GNB,634187269.2,47.084,222.1,973551,,,,,,,,,
1990,YR1990,Guyana,GUY,396582263.3,62.415,60.8,747116,,,,,,,,,
1990,YR1990,Haiti,HTI,3096289800,52.975,144.8,6925331,,,,,,,,,
1990,YR1990,Honduras,HND,4923009552,65.243,58.2,5053234,,,,,,,,,
1990,YR1990,"Hong Kong SAR, China",HKG,76928784621,77.37073171,..,5704500,,,,,,,,,
1990,YR1990,Hungary,HUN,34365891769,69.31560976,17.3,10373988,,,,,,,,,
1990,YR1990,Iceland,ISL,6468736356,78.03634146,6.3,254826,,,,,,,,,
1990,YR1990,Iran,IRN,1.24813E+11,64.367,57.6,55793629,,,,,,,,,
1990,YR1990,Iraq,IRQ,1.80408E+11,58.435,53.7,17658381,,,,,,,,,
1990,YR1990,Ireland,IRL,49305632408,74.84607317,9.1,3513974,,,,,,,,,
1990,YR1990,Isle of Man,IMN,..,71.959,..,68865,,,,,,,,,
1990,YR1990,Israel,ISR,61661395509,76.60731707,11.5,4660000,,,,,,,,,
1990,YR1990,Jamaica,JAM,4592208087,72.304,27.9,2392030,,,,,,,,,
1990,YR1990,Jordan,JOR,4160087508,69.854,36,3480587,,,,,,,,,
1990,YR1990,Kazakhstan,KAZ,26932016270,68.33658537,51.7,16348000,,,,,,,,,
1990,YR1990,Kenya,KEN,8572359038,58.614,100.9,23162269,,,,,,,,,
1990,YR1990,Kiribati,KIR,36688453.36,60.917,91.1,75124,,,,,,,,,
1990,YR1990,"Korea, Dem. People's Rep.",PRK,..,70.21,42.3,20799523,,,,,,,,,
1990,YR1990,Kosovo,XKX,..,70.917,103.6,1964986,,,,,,,,,
1990,YR1990,Kuwait,KWT,18427777778,73.281,19.9,1674938,,,,,,,,,
1990,YR1990,Kyrgyz Republic,KGZ,2675000000,68.29756098,64.1,4391200,,,,,,,,,
1990,YR1990,Lao PDR,LAO,865559879.4,53.713,153.3,4314443,,,,,,,,,
1990,YR1990,Latvia,LVA,..,69.27317073,17,2663151,,,,,,,,,
1990,YR1990,Lebanon,LBN,2838485354,64.475,31.9,3593700,,,,,,,,,
1990,YR1990,Lesotho,LSO,596410263.7,59.398,85.1,1798997,,,,,,,,,
1990,YR1990,Liberia,LBR,384400000,36.688,263.8,2209731,,,,,,,,,
1990,YR1990,Libya,LBY,28904183602,69.423,41.7,4236983,,,,,,,,,
1990,YR1990,Liechtenstein,LIE,1421509216,..,..,28765,,,,,,,,,
1990,YR1990,Lithuania,LTU,..,71.16073171,15,3697838,,,,,,,,,
1990,YR1990,Luxembourg,LUX,12778792854,75.43831707,8.8,381850,,,,,,,,,
1990,YR1990,Madagascar,MDG,3931334875,51.701,155.4,11882762,,,,,,,,,
1990,YR1990,Malawi,MWI,2737087862,43.323,243,9539665,,,,,,,,,
1990,YR1990,Malaysia,MYS,44024585240,71.307,16.6,17517054,,,,,,,,,
1990,YR1990,Maldives,MDV,215043969.8,63.578,86.2,224957,,,,,,,,,
1990,YR1990,Mali,MLI,2681912149,46.62,230.8,8945026,,,,,,,,,
1990,YR1990,Malta,MLT,2547163582,75.87997561,11.4,354170,,,,,,,,,
1990,YR1990,Marshall Islands,MHL,78476000,62.176,47.7,46047,,,,,,,,,
1990,YR1990,Mauritania,MRT,1506914408,59.77,116.2,2006027,,,,,,,,,
1990,YR1990,Mauritius,MUS,2689212760,69.40487805,23,1058775,,,,,,,,,
1990,YR1990,"Micronesia, Fed. Sts.",FSM,147200000,67.425,49.5,98603,,,,,,,,,
1990,YR1990,Moldova,MDA,3571250000,68.067,33.4,2965978,,,,,,,,,
1990,YR1990,Monaco,MCO,2481307077,..,7.8,30329,,,,,,,,,
1990,YR1990,Mongolia,MNG,2560785660,58.765,106.9,2161433,,,,,,,,,
1990,YR1990,Montenegro,MNE,..,75.56687805,16.5,606372,,,,,,,,,
1990,YR1990,Morocco,MAR,30179954775,62.448,80.8,24570814,,,,,,,,,
1990,YR1990,Mozambique,MOZ,..,44.469,243.7,13303459,,,,,,,,,
1990,YR1990,Myanmar,MMR,2115193513,56.661,115,40099553,,,,,,,,,
1990,YR1990,Namibia,NAM,2789921853,62.496,73.3,1369011,,,,,,,,,
1990,YR1990,Nauru,NRU,55572375.47,61.356,67.1,9598,,,,,,,,,
1990,YR1990,Nepal,NPL,3627560239,54.833,138.4,19616530,,,,,,,,,
1990,YR1990,New Caledonia,NCL,2529440424,70.48536585,..,170899,,,,,,,,,
1990,YR1990,New Zealand,NZL,45495129385,75.37804878,11.2,3329800,,,,,,,,,
1990,YR1990,Nicaragua,NIC,1110472676,63.096,66.6,4227820,,,,,,,,,
